tract_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,fips_county_code,tract
"Census Tract 105.02, Hamilton County, Tennessee",3458,2362,58869,62933,80568,36,0,68,5,0,0,0,28,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,47,065,010502
"Census Tract 117, Hamilton County, Tennessee",4983,3310,46538,63678,57650,15,5,121,14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,3,0,3,0,0,0,0,13,3,12,3,47,065,011700
"Census Tract 104.32, Hamilton County, Tennessee",6991,5193,85769,92396,119837,118,80,128,21,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,47,065,010432
"Census Tract 104.12, Hamilton County, Tennessee",5293,3747,52784,62750,61721,128,22,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,47,065,010412
"Census Tract 114.42, Hamilton County, Tennessee",2922,1918,43558,46513,51875,47,43,6,26,33,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,065,011442
"Census Tract 13, Hamilton County, Tennessee",1896,1244,26316,26471,30735,15,9,0,4,34,21,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,47,065,001300
"Census Tract 101.01, Hamilton County, Tennessee",5751,4203,68024,96991,77125,125,35,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,47,065,010101
"Census Tract 20, Hamilton County, Tennessee",1199,892,31250,74444,32000,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,065,002000
"Census Tract 114.13, Hamilton County, Tennessee",7518,5805,57641,58798,95245,118,49,100,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,47,065,011413
"Census Tract 9502, Hardeman County, Tennessee",6061,4804,41346,34583,40313,16,0,2,0,34,63,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,47,069,950200
