"univ_id","univ_name","cc_in","cc_out","other_in","other_out","priv_in","priv_out","pub_in","pub_out","all_in","all_out","all"
"199193","North Carolina State University",55,3,32,32,3,20,157,72,247,124,371
"186380","Rutgers University-New Brunswick",89,26,37,163,72,231,477,554,675,948,1623
"196097","Stony Brook University",33,9,26,54,39,107,326,496,424,657,1081
"100751","University of Alabama",124,88,48,659,54,931,156,2310,382,3900,4282
"106397","University of Arkansas",16,23,26,101,21,204,162,483,225,788,1013
"110635","University of California-Berkeley",161,2,105,97,46,162,343,212,655,471,1126
"110653","University of California-Irvine",322,4,95,55,20,40,330,77,767,172,939
"110671","University of California-Riverside",399,4,63,19,55,32,477,21,994,72,1066
"110680","University of California-San Diego",248,8,86,44,85,112,610,146,1029,302,1331
"201885","University of Cincinnati",22,31,45,120,79,204,408,491,554,815,1369
"126614","University of Colorado-Boulder",154,18,38,115,17,362,254,606,463,1083,1546
"139959","University of Georgia",1,0,25,67,69,233,203,287,298,587,885
"155317","University of Kansas",28,33,62,177,22,213,304,613,416,1003,1419
"166629","University of Massachusetts-Amherst",36,10,17,50,62,230,238,504,353,784,1137
"181464","University of Nebraska-Lincoln",20,26,26,125,55,104,445,646,546,875,1421
"215293","University of Pittsburgh",37,31,28,138,51,210,211,559,327,907,1234
"218663","University of South Carolina-Columbia",20,25,51,398,34,452,313,876,418,1726,2144
