univ_id,event_type,instate,outofstate,total
100751,pub_hs,156,2310,2466
100751,priv_hs,54,931,985
100751,cc,124,88,212
100751,pub_4yr,8,79,87
100751,pse,0,70,70
100751,other,40,422,462
100751,total,382,3900,4282
106397,pub_hs,162,483,645
106397,priv_hs,21,204,225
106397,cc,16,23,39
106397,pub_4yr,5,16,21
106397,pse,1,7,8
106397,other,20,55,75
106397,total,225,788,1013
110635,pub_hs,343,212,555
110635,priv_hs,46,162,208
110635,cc,161,2,163
110635,pub_4yr,20,3,23
110635,pse,6,2,8
110635,other,79,90,169
110635,total,655,471,1126
110653,pub_hs,330,77,407
110653,priv_hs,20,40,60
110653,cc,322,4,326
110653,pub_4yr,27,11,38
110653,pse,3,2,5
110653,other,65,38,103
110653,total,767,172,939
110671,pub_hs,477,21,498
110671,priv_hs,55,32,87
110671,cc,399,4,403
110671,pub_4yr,10,6,16
110671,pse,6,1,7
110671,other,47,8,55
110671,total,994,72,1066
110680,pub_hs,610,146,756
110680,priv_hs,85,112,197
110680,cc,248,8,256
110680,pub_4yr,30,5,35
110680,pse,3,1,4
110680,other,53,30,83
110680,total,1029,302,1331
115409,pub_hs,58,140,198
115409,priv_hs,24,90,114
115409,cc,0,0,0
115409,pub_4yr,0,3,3
115409,pse,0,2,2
115409,other,7,35,42
115409,total,89,270,359
120254,pub_hs,82,102,184
120254,priv_hs,56,143,199
120254,cc,8,0,8
120254,pub_4yr,1,1,2
120254,pse,2,2,4
120254,other,12,40,52
120254,total,161,288,449
123165,pub_hs,56,103,159
123165,priv_hs,34,77,111
123165,cc,1,0,1
123165,pub_4yr,0,0,0
123165,pse,0,1,1
123165,other,13,32,45
123165,total,104,213,317
126614,pub_hs,254,606,860
126614,priv_hs,17,362,379
126614,cc,154,18,172
126614,pub_4yr,14,11,25
126614,pse,2,14,16
126614,other,22,72,94
126614,total,463,1083,1546
126678,pub_hs,91,199,290
126678,priv_hs,11,304,315
126678,cc,1,0,1
126678,pub_4yr,4,3,7
126678,pse,2,7,9
126678,other,10,122,132
126678,total,119,635,754
127060,pub_hs,158,237,395
127060,priv_hs,13,258,271
127060,cc,10,4,14
127060,pub_4yr,3,3,6
127060,pse,4,10,14
127060,other,14,30,44
127060,total,202,542,744
128902,pub_hs,32,181,213
128902,priv_hs,29,257,286
128902,cc,0,1,1
128902,pub_4yr,0,0,0
128902,pse,0,2,2
128902,other,1,69,70
128902,total,62,510,572
139658,pub_hs,50,244,294
139658,priv_hs,16,259,275
139658,cc,1,0,1
139658,pub_4yr,0,0,0
139658,pse,0,2,2
139658,other,4,72,76
139658,total,71,577,648
139959,pub_hs,203,287,490
139959,priv_hs,69,233,302
139959,cc,1,0,1
139959,pub_4yr,6,7,13
139959,pse,0,2,2
139959,other,19,58,77
139959,total,298,587,885
147767,pub_hs,129,468,597
147767,priv_hs,36,326,362
147767,cc,0,0,0
147767,pub_4yr,0,2,2
147767,pse,0,5,5
147767,other,3,77,80
147767,total,168,878,1046
152080,pub_hs,36,367,403
152080,priv_hs,24,663,687
152080,cc,0,0,0
152080,pub_4yr,0,0,0
152080,pse,0,1,1
152080,other,0,50,50
152080,total,60,1081,1141
155317,pub_hs,304,613,917
155317,priv_hs,22,213,235
155317,cc,28,33,61
155317,pub_4yr,3,20,23
155317,pse,1,20,21
155317,other,58,104,162
155317,total,416,1003,1419
160755,pub_hs,46,433,479
160755,priv_hs,37,391,428
160755,cc,0,1,1
160755,pub_4yr,4,4,8
160755,pse,0,6,6
160755,other,19,104,123
160755,total,106,939,1045
164924,pub_hs,30,173,203
164924,priv_hs,27,306,333
164924,cc,0,0,0
164924,pub_4yr,0,1,1
164924,pse,3,5,8
164924,other,0,15,15
164924,total,60,500,560
166629,pub_hs,238,504,742
166629,priv_hs,62,230,292
166629,cc,36,10,46
166629,pub_4yr,1,5,6
166629,pse,5,4,9
166629,other,11,31,42
166629,total,353,784,1137
167835,pub_hs,47,332,379
167835,priv_hs,15,149,164
167835,cc,22,30,52
167835,pub_4yr,0,8,8
167835,pse,4,14,18
167835,other,11,39,50
167835,total,99,572,671
