varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
1,UNITID,N,6,Cont,,Unique identification number of the institution
10361,PEO1ISTR,N,2,Disc,,Occupational
10366,PEO2ISTR,N,2,Disc,,Academic
10371,PEO3ISTR,N,2,Disc,,Continuing professional
10376,PEO4ISTR,N,2,Disc,,Recreational or avocational
10381,PEO5ISTR,N,2,Disc,,Adult basic remedial or high school equivalent
10386,PEO6ISTR,N,2,Disc,,Secondary (high school)
10391,CNTLAFFI,N,2,Disc,,Institutional control or affiliation
10396,PUBPRIME,N,2,Disc,,Primary public control
10401,PUBSECON,N,2,Disc,,Secondary public control
10406,RELAFFIL,N,3,Disc,,Religious affiliation
10411,LEVEL1,N,2,Disc,,Less than one year certificate
10416,LEVEL2,N,2,Disc,,One but less than two years certificate
10421,LEVEL3,N,2,Disc,,Associate's degree
10426,LEVEL4,N,2,Disc,,Two but less than 4 years certificate
10431,LEVEL5,N,2,Disc,,Bachelor's degree
10436,LEVEL6,N,2,Disc,,Postbaccalaureate certificate
10441,LEVEL7,N,2,Disc,,Master's degree
10446,LEVEL8,N,2,Disc,,Post-master's certificate
10466,LEVEL12,N,2,Disc,,Other degree
10452,LEVEL17,N,2,Disc,,Doctor's degree - research/scholarship
10453,LEVEL18,N,2,Disc,,Doctor's degree - professional practice
10454,LEVEL19,N,2,Disc,,Doctor's degree - other
10901,CALSYS,N,2,Disc,,Calendar system
10926,FT_UG,N,2,Disc,,Full-time undergraduate students are enrolled
10931,FT_FTUG,N,2,Disc,,Full time first-time degree/certificate-seeking undergraduate students enrolled
15301,FTGDNIDP,N,2,Disc,,Full-time graduate (not including doctor's professional practice) students are enrolled
10946,PT_UG,N,2,Disc,,Part-time undergraduate students are enrolled
10951,PT_FTUG,N,2,Disc,,Part time first-time degree/certificate-seeking undergraduate students enrolled
15306,PTGDNIDP,N,2,Disc,,Part-time graduate (not including doctor's professional practice) students are enrolled
15311,DOCPP,N,2,Disc,,Doctor's professional practice students are enrolled
15316,DOCPPSP,N,2,Disc,,Doctor's professional practice students are enrolled in programs formerly designated as first-professional
10516,OPENADMP,N,2,Disc,,Open admission policy
16141,VET1,N,2,Disc,,"Yellow Ribbon Program (officially known as Post-9/11 GI Bill, Yellow Ribbon Program)"
16142,VET2,N,2,Disc,,Credit for military training
16143,VET3,N,2,Disc,,"Dedicated point of contact for support services for veterans, military servicemembers, and their families"
16144,VET4,N,2,Disc,,Recognized student veteran organization
16145,VET5,N,2,Disc,,Member of Servicemembers Opportunity Colleges
16149,VET9,N,2,Disc,,"Services  and programs are not available to veterans, military servicemembers, or their families?"
10681,CREDITS1,N,2,Disc,,Dual credit
10686,CREDITS2,N,2,Disc,,Credit for life experiences
10691,CREDITS3,N,2,Disc,,Advanced placement (AP) credits
10696,CREDITS4,N,2,Disc,,"Institution does not accept dual, credit for life, or AP credits"
10721,SLO5,N,2,Disc,,ROTC
10726,SLO51,N,2,Disc,,ROTC - Army
10731,SLO52,N,2,Disc,,ROTC - Navy
10736,SLO53,N,2,Disc,,ROTC - Air Force
10741,SLO6,N,2,Disc,,Study abroad
10746,SLO7,N,2,Disc,,Weekend/evening  college
10751,SLO8,N,2,Disc,,Teacher certification (below the postsecondary level)
10756,SLO81,N,2,Disc,,Teacher certification: Students can complete their preparation in certain areas of specialization
