varnumber,varname,codevalue,valuelabel,frequency,percent
10361,PEO1ISTR,1,Yes,"4,347",63.16
10361,PEO1ISTR,0,Implied no,"2,535",36.84
10366,PEO2ISTR,1,Yes,"4,786",69.54
10366,PEO2ISTR,0,Implied no,"2,096",30.46
10371,PEO3ISTR,1,Yes,841,12.22
10371,PEO3ISTR,0,Implied no,"2,185",31.75
10371,PEO3ISTR,-2,Not applicable,"3,856",56.03
10376,PEO4ISTR,1,Yes,"1,081",15.71
10376,PEO4ISTR,0,Implied no,"5,801",84.29
10381,PEO5ISTR,1,Yes,"1,254",18.22
10381,PEO5ISTR,0,Implied no,"5,628",81.78
10386,PEO6ISTR,1,Yes,378,5.49
10386,PEO6ISTR,0,Implied no,"6,504",94.51
10391,CNTLAFFI,1,Public,"2,062",29.96
10391,CNTLAFFI,2,Private for-profit,"2,887",41.95
10391,CNTLAFFI,3,Private not-for-profit (no religious affiliation),"1,011",14.69
10391,CNTLAFFI,4,Private not-for-profit (religious affiliation),922,13.4
10396,PUBPRIME,1,Federal,17,0.25
10396,PUBPRIME,2,State,"1,536",22.32
10396,PUBPRIME,3,Territorial,8,0.12
10396,PUBPRIME,4,School district,235,3.41
10396,PUBPRIME,5,County,91,1.32
10396,PUBPRIME,7,City,13,0.19
10396,PUBPRIME,8,Special district,114,1.66
10396,PUBPRIME,9,Other,48,0.7
10396,PUBPRIME,-2,Not applicable,"4,820",70.04
10401,PUBSECON,1,Federal,16,0.23
10401,PUBSECON,2,State,142,2.06
10401,PUBSECON,3,Territorial,8,0.12
10401,PUBSECON,4,School district,83,1.21
10401,PUBSECON,5,County,55,0.8
10401,PUBSECON,6,Township,1,0.01
10401,PUBSECON,7,City,4,0.06
10401,PUBSECON,8,Special district,23,0.33
10401,PUBSECON,9,Other,40,0.58
10401,PUBSECON,0,Implied no,"1,690",24.56
10401,PUBSECON,-2,Not applicable,"4,820",70.04
10406,RELAFFIL,51,African Methodist Episcopal,6,0.09
10406,RELAFFIL,24,African Methodist Episcopal Zion Church,3,0.04
10406,RELAFFIL,52,American Baptist,18,0.26
10406,RELAFFIL,22,American Evangelical Lutheran Church,1,0.01
10406,RELAFFIL,27,Assemblies of God Church,13,0.19
10406,RELAFFIL,54,Baptist,66,0.96
10406,RELAFFIL,28,Brethren Church,2,0.03
10406,RELAFFIL,34,Christ and Missionary Alliance Church,4,0.06
10406,RELAFFIL,61,Christian Church (Disciples of Christ),17,0.25
10406,RELAFFIL,48,Christian Churches and Churches of Christ,17,0.25
10406,RELAFFIL,55,Christian Methodist Episcopal,4,0.06
10406,RELAFFIL,35,Christian Reformed Church,3,0.04
10406,RELAFFIL,58,Church of Brethren,6,0.09
10406,RELAFFIL,57,Church of God,10,0.15
10406,RELAFFIL,59,Church of the Nazarene,10,0.15
10406,RELAFFIL,74,Churches of Christ,18,0.26
10406,RELAFFIL,60,Cumberland Presbyterian,2,0.03
10406,RELAFFIL,50,"Episcopal Church, Reformed",2,0.03
10406,RELAFFIL,102,Evangelical Christian,3,0.04
10406,RELAFFIL,36,Evangelical Congregational Church,1,0.01
10406,RELAFFIL,37,Evangelical Covenant Church of America,2,0.03
10406,RELAFFIL,38,Evangelical Free Church of America,2,0.03
10406,RELAFFIL,39,Evangelical Lutheran Church,27,0.39
10406,RELAFFIL,64,Free Methodist,5,0.07
10406,RELAFFIL,41,Free Will Baptist Church,3,0.04
10406,RELAFFIL,65,Friends,7,0.1
10406,RELAFFIL,105,General Baptist,1,0.01
10406,RELAFFIL,91,Greek Orthodox,2,0.03
10406,RELAFFIL,42,Interdenominational,40,0.58
10406,RELAFFIL,80,Jewish,35,0.51
10406,RELAFFIL,94,Latter Day Saints (Mormon Church),4,0.06
10406,RELAFFIL,68,Lutheran Church - Missouri Synod,12,0.17
10406,RELAFFIL,67,Lutheran Church in America,3,0.04
10406,RELAFFIL,43,Mennonite Brethren Church,2,0.03
10406,RELAFFIL,69,Mennonite Church,6,0.09
10406,RELAFFIL,87,Missionary Church Inc,1,0.01
10406,RELAFFIL,44,Moravian Church,2,0.03
10406,RELAFFIL,78,Multiple Protestant Denomination,6,0.09
10406,RELAFFIL,106,Muslim,1,0.01
10406,RELAFFIL,45,North American Baptist,1,0.01
