"ppin","event_location_name","event_state","event_city","total_12","pct_to_4yr"
"00000849","Bessemer Academy","AL","Bessemer",42,100
"00001354","Mobile Christian School","AL","Mobile",45,91
"00001478","Trinity Presbyterian School","AL","Montgomery",76,99
"00001547","Saint James School","AL","Montgomery",89,100
"00001569","UMS-Wright","AL","Mobile",91,99
"00001591","Montgomery Academy","AL","Montgomery",75,100
"00002165","Madison Academy","AL","Huntsville",72,100
"00002234","Northside Methodist Academy","AL","Dothan",23,60
"00069991","Saint Monica High School","CA","Santa Monica",143,83
"00070056","Pomona Catholic High School","CA","Pomona",55,90
"00070715","St. John Bosco High School","CA","Bellflower",196,68
"00071005","Don Bosco Technical Institute","CA","Rosemead",96,70
"00071672","St. Pius X - St. Matthias Academy","CA","Downey",55,99
"00071683","Junipero Serra High School","CA","Gardena",126,83
"00074957","St. Joseph Notre Dame High School","CA","Alameda",88,85
"00078667","Harker School","CA","San Jose",176,100
"00082968","Redlands Christian Academy","CA","Redlands",87,75
"00083542","Castilleja School","CA","Palo Alto",61,98
"00091848","Western Christian High School","CA","Upland",119,63
"00094204","Heritage Christian School","CA","Northridge",167,57
"00208075","Bishop Machebeuf High School","CO","Denver",73,84
"00230861","East Catholic High School","CT","Manchester",159,90
"00231322","St Paul's High School","CT",NA,92,86
"00232552","Salisbury School","CT","Salisbury",99,100
"00233148","Brunswick School","CT","Greenwich",92,100
"00233192","Greens Farms Academy","CT","Westport",84,99
"00233283","Chase Collegiate School","CT","Waterbury",44,100
"00233341","Loomis Chaffee School","CT",NA,189,100
"00233352","Suffield Academy","CT",NA,120,100
"00233363","Westminster High School","CT",NA,109,100
"00249657","Archmere Academy","DE","Claymont",128,100
"00249839","Sanford School","DE","Hockessin",60,100
"00253732","Field School","DC","Washington",64,99
"00258027","Bishop Moore High School","FL","Orlando",260,89
"00258129","Santa Fe Catholic High School","FL","Lakeland",80,87
"00258366","Saint Joseph Academy","FL","St Augustine",72,99
"00259574","The Pine School","FL","Hobe Sound",35,100
"00260579","American Heritage School","FL","Plantation",48,100
"00260998","Westminster Christian School","FL","Miami",134,90
"00261029","Cambridge Christian School","FL","Tampa",41,100
"00296197","Benedictine Military School","GA","Savannah",75,90
"00296663","Pace Academy","GA","Atlanta",108,100
"00297055","John Milledge Academy","GA","Milledgeville",29,73
"00297179","Arlington Christian School","GA","Fairburn",14,100
"00297408","Brookwood School","GA","Thomasville",35,100
"00297474","Woodward Academy","GA","College Park",400,100
"00298172","Robert Toombs Christian Acad","GA","Lyons",20,100
"00298412","Tift Area Academy","GA","Chula",40,95
"00298514","Westfield School","GA","Perry",46,90
"00298864","Athens Christian School","GA","Athens",67,90
"00326408","Saint Louis School","HI","Honolulu",89,61
"00327106","Island School","HI","Lihue",32,100
"00331156",NA,"ID","Sun Valley",37,0
"00341211","Loyola Academy","IL","Wilmette",492,99
"00342623","Woodlands Academy Sacred Heart","IL","Lake Forest",46,100
"00343467","Marist High School","IL","Chicago",441,98
"00346195","Benet Academy","IL","Lisle",330,99
"00353839","Elgin Academy","IL","Elgin",30,100
"00489316","Sacred Heart High School","KS","Salina",38,90
"00514526","Bethlehem High School","KY","Bardstown",81,98
"00516716","Louisville Collegiate School","KY","Louisville",55,90
"00541221","Isidore Newman School","LA","New Orleans",66,100
"00542495","John Curtis Christian School","LA","River Ridge",80,98
"00563482","Fryeburg Academy","ME","Fryeburg",164,75
"00578273","Institute of Notre Dame","MD","Baltimore",96,91
"00579277","Friends School Of Baltimore","MD","Baltimore",111,100
"00580136","Boys Latin School Of Maryland","MD","Baltimore",12,99
"00580205","Garrison Forest School","MD","Owings Mills",75,100
"00580271","Landon School","MD","Bethesda",73,100
"00600562","Malden Catholic HS","MA","Middlesex",143,91
"00600744","Cardinal Spellman High School","MA","Brockton",185,98
"00601373","Saint Sebastians School","MA","Needham",62,95
"00601726","Bishop Stang High School","MA","Dartmouth",156,92
"00602253","Pope Francis High School 220008","MA","Chicopee",69,91
"00602446","St Mary's High School","MA","Westfield",24,90
"00603075","Groton School","MA","Groton",84,100
"00603337","Cushing Academy","MA","Ashburnham",113,99
"00603654","Dana Hall School","MA","Wellesley",92,100
"00603698","Middlesex School","MA","Concord",97,100
"00604068","Commonwealth School","MA","Boston",35,100
"00604104",NA,"MA","Middlesex",52,100
"00604192","Milton Academy","MA","Milton",172,98
"00604239","Concord Academy","MA","Concord",100,100
"00604272","Winchendon School","MA","Winchendon",69,97
"00638235","Ladywood High School","MI","Livonia",77,100
"00639636","Hackett Catholic Prep High School","MI","Kalamazoo",67,96
"00640073","Lumen Christi High School","MI","Jackson",106,91
"00643336","Grand Rapids Christian High School","MI","Grand Rapids",212,96
"00643733","West Michigan Christian High School","MI","Norton Shores",64,98
"00643835","University Liggett School","MI","Grosse Pointe Woods",65,97
"00643846","Greenhills School","MI","Ann Arbor",100,100
