source,category,overall_niche_grade,rank_within_category,total_ranked,ncessch,ceeb,name,abbrev,short_name,location,city,state_code,latitude,longitude,grade_level,num_students,student_teacher_ratio,character,genus,tagline_category,tagline_location,guid,url,district_name,district_abbrev,district_short_name,district_location,district_city,district_state_code,district_tagline_location,district_url,niche_review_count,niche_review_average
private,Best Private High Schools in America,4.33,1,4131,00852124,300185,Phillips Exeter Academy,Phillips Exeter Academy,Phillips Exeter Academy,"Exeter, NH",Exeter,NH,42.9806,-70.9508,9-12,1085,5,"Private, Boarding",Private School,Private School,"Exeter, NH",501f9e7e-5112-4789-841c-bf7efdef19ea,phillips-exeter-academy-exeter-nh,,,,,,,,,262,4.351145038167939
private,Best Private High Schools in America,4.33,2,4131,A0109464,441805,St. Mark's School of Texas,St. Mark's School of Texas,St. Mark's School of Texas,"Dallas, TX",Dallas,TX,32.8907,-96.8013,1-12,863,9,"Private, Episcopal, All-Boys",All-Boys School,Private School,"Dallas, TX",59182242-fddf-4b94-919d-12b2a61fdfd6,st-marks-school-of-texas-dallas-tx,,,,,,,,,59,4.677966101694915
private,Best Private High Schools in America,4.33,3,4131,,220030,Phillips Academy,Phillips Academy,Andover,"Andover, MA",Andover,MA,42.64718,-71.132257,9-12,1146,5,"Private, Boarding",Private School,Private School,"Andover, MA",64860c23-306a-4580-a647-6012e8c0aacc,phillips-academy-andover-ma,,,,,,,,,133,4.458646616541353
private,Best Private High Schools in America,4.33,4,4131,00083597,052192,The College Preparatory School,The College Preparatory School,The College Preparatory School,"Oakland, CA",Oakland,CA,37.8429,-122.234,9-12,372,7,Private,Private School,Private School,"Oakland, CA",91a105c2-3747-403f-bb2a-9c380f5a660d,the-college-preparatory-school-oakland-ca,,,,,,,,,75,4.1466666666666665
private,Best Private High Schools in America,4.33,5,4131,00942722,334090,Trinity School,Trinity School,Trinity School,"New York, NY",New York,NY,40.7906,-73.9713,K-12,1001,6,"Private, Episcopal",Episcopal School,Private School,"New York, NY",d8c8c5f1-488e-4ff9-87c0-4149235e19bb,trinity-school-new-york-ny,,,,,,,,,62,3.9838709677419355
private,Best Private High Schools in America,4.33,6,4131,BB980038,052159,Harvard-Westlake School,Harvard-Westlake School,Harvard-Westlake School,"Los Angeles, CA",Los Angeles,CA,34.0871432,-118.4336686,7-12,1598,8,Private,Private School,Private School,"Los Angeles, CA",9befe540-2ea2-44a6-bee6-f8205c077a0f,harvard-westlake-school-los-angeles-ca,,,,,,,,,144,4.472222222222222
private,Best Private High Schools in America,4.33,7,4131,A0900304,054127,Stanford Online High School,Stanford Online High School,Stanford OHS,"Redwood City, CA",Redwood City,CA,37.4844482,-122.2017185,7-12,804,12,,Online School,Online School,"Redwood City, CA",32c19f76-a464-4049-b86e-c526e60921ff,stanford-online-high-school-redwood-city-ca,,,,,,,,,134,4.6940298507462686
private,Best Private High Schools in America,4.33,8,4131,00233261,070810,Choate Rosemary Hall,Choate Rosemary Hall,Choate,"Wallingford, CT",Wallingford,CT,41.457641,-72.809771,9-12,848,7,"Private, Boarding",Private School,Private School,"Wallingford, CT",5862f394-2efc-4ef0-b9e5-9c14adce6f31,choate-rosemary-hall-wallingford-ct,,,,,,,,,142,4.492957746478873
private,Best Private High Schools in America,4.33,9,4131,00083542,052330,Castilleja School,Castilleja School,Castilleja School,"Palo Alto, CA",Palo Alto,CA,37.439386,-122.151259,6-12,430,8,"Private, All-Girls",All-Girls School,Private School,"Palo Alto, CA",b50fa3b6-1115-4459-94fb-1f3e2ac36555,castilleja-school-palo-alto-ca,,,,,,,,,55,4.3090909090909095
private,Best Private High Schools in America,4.33,10,4131,00869171,310681,The Lawrenceville School,The Lawrenceville School,The Lawrenceville School,"Lawrenceville, NJ",Lawrenceville,NJ,40.2953,-74.7302,9-12,822,7,"Private, Boarding",Private School,Private School,"Lawrenceville, NJ",f6d4795d-6466-4616-b4be-447d3fcc065b,the-lawrenceville-school-lawrenceville-nj,,,,,,,,,128,4.328125
