source,category,overall_niche_grade,rank_within_category,total_ranked,ncessch,ceeb,name,abbrev,short_name,location,city,state_code,latitude,longitude,grade_level,num_students,student_teacher_ratio,character,genus,tagline_category,tagline_location,guid,url,district_name,district_abbrev,district_short_name,district_location,district_city,district_state_code,district_tagline_location,district_url,niche_review_count,niche_review_average
traditional,,2,,,272124003107,241702,Wellstone International High School,Wellstone International High School,Wellstone International High School,"Minneapolis, MN",Minneapolis,MN,44.94288,-93.261406,9-12,208,9,Public,Public School,,"Minneapolis Public School District, MN",cd049894-6876-4114-a70d-82f48dbd4dcc,wellstone-international-high-school-minneapolis-mn,Minneapolis Public School District,MPS,Minneapolis Public School District,"Minneapolis, MN",Minneapolis,MN,"Minneapolis, MN",minneapolis-public-school-district-mn,15,4.533333333333333
traditional,,2,,,069113410214,053530,Tranquillity High School,Tranquillity High School,Tranquillity High School,"Tranquillity, CA",Tranquillity,CA,36.646203,-120.254418,9-12,533,20,Public,Public School,,"Golden Plains Unified School District, CA",3be795f3-23f9-4267-8952-0e936858cfe7,tranquillity-high-school-tranquillity-ca,Golden Plains Unified School District,Golden Plains Unified School District,Golden Plains Unified School District,"San Joaquin, CA",San Joaquin,CA,"San Joaquin, CA",golden-plains-unified-school-district-ca,54,3.555555555555556
traditional,,2,,,080336000380,060408,Contemporary Learning Academy,Contemporary Learning Academy,Contemporary Learning Academy,"Denver, CO",Denver,CO,39.730444,-104.984871,9-12,121,8,"Public, Alternative",Public School,,"Denver Public Schools, CO",5c9b8847-4906-4c16-bace-f8e5d1715758,contemporary-learning-academy-denver-co,Denver Public Schools,Denver Public Schools,Denver Public Schools,"Denver, CO",Denver,CO,"Denver, CO",denver-public-schools-co,0,0
traditional,,2,,,200417001872,170395,Altoona-Midway Middle/High School,Altoona-Midway Middle/High School,Altoona-Midway Middle/High School,"Buffalo, KS",Buffalo,KS,37.714791,-95.688088,5-12,110,9,Public,Public School,,"Altoona-Midway Unified School District, KS",08a94adf-07e8-40f7-b72b-d2fecafe0ea2,altoona-midway-middle-high-school-buffalo-ks,Altoona-Midway Unified School District,Altoona-Midway Unified School District,Altoona-Midway Unified School District,"Buffalo, KS",Buffalo,KS,"Buffalo, KS",altoona-midway-unified-school-district-ks,13,3.4615384615384617
traditional,,2,,,063315003613,052764,Raincross High School,Raincross High School,Raincross High School,"Riverside, CA",Riverside,CA,33.940643,-117.378942,9-12,143,14,"Public, Alternative",Public School,,"Riverside Unified School District, CA",c1e80cc8-0a45-4bb8-a356-e92be5a7ae0d,raincross-high-school-riverside-ca,Riverside Unified School District,RUSD,Riverside Unified School District,"Riverside, CA",Riverside,CA,"Riverside, CA",riverside-unified-school-district-ca,1,3
traditional,,2,,,062949011462,054045,Pajaro Valley High School,Pajaro Valley High School,Pajaro Valley High School,"Watsonville, CA",Watsonville,CA,36.91232,-121.791352,9-12,1436,29,Public,Public School,,"Pajaro Valley Unified School District, CA",42ef1d4b-da34-457e-b7a9-33ceffb82506,pajaro-valley-high-school-watsonville-ca,Pajaro Valley Unified School District,PVUSD,Pajaro Valley Unified School District,"Watsonville, CA",Watsonville,CA,"Watsonville, CA",pajaro-valley-unified-school-district-ca,220,3.4863636363636363
traditional,,2,,,060969001035,050665,Corcoran High School,Corcoran High School,Corcoran High School,"Corcoran, CA",Corcoran,CA,36.098071,-119.567559,9-12,864,22,Public,Public School,,"Corcoran Joint Unified School District, CA",768b9cf9-de39-4edd-ab99-ac484ebe74c9,corcoran-high-school-corcoran-ca,Corcoran Joint Unified School District,Corcoran Joint Unified School District,Corcoran Joint Unified School District,"Corcoran, CA",Corcoran,CA,"Corcoran, CA",corcoran-joint-unified-school-district-ca,163,3.7239263803680984
traditional,,2,,,390449001835,365051,Start High School,Start High School,Start High School,"Toledo, OH",Toledo,OH,41.697622,-83.593375,9-12,1528,18,Public,Public School,,"Toledo City School District, OH",95c242c5-a3d3-4aa5-99da-b3f97c6781c9,start-high-school-toledo-oh,Toledo City School District,Toledo City School District,Toledo City School District,"Toledo, OH",Toledo,OH,"Toledo, OH",toledo-city-school-district-oh,159,3.3144654088050314
traditional,,2,,,220087000668,190420,Carencro High School,Carencro High School,Carencro High School,"Lafayette, LA",Lafayette,LA,30.287891,-92.039927,9-12,1139,21,Public,Public School,,"Lafayette Parish Public Schools, LA",7fe3eb3f-fe85-459c-ae4b-fc7ed4f5640e,carencro-high-school-lafayette-la,Lafayette Parish Public Schools,Lafayette Parish Public Schools,Lafayette Parish Public Schools,"Lafayette, LA",Lafayette,LA,"Lafayette, LA",lafayette-parish-public-schools-la,163,3.392638036809816
traditional,,2,,,170993001111,140700,Schurz High School,Schurz High School,Schurz High School,"Chicago, IL",Chicago,IL,41.946266,-87.735626,9-12,1608,15,Public,Public School,,"Chicago Public Schools, IL",89037fa0-a73a-4cd1-b254-82e4a8df3514,schurz-high-school-chicago-il,Chicago Public Schools,Chicago Public Schools,Chicago Public Schools,"Chicago, IL",Chicago,IL,"Chicago, IL",chicago-public-schools-il,383,3.657963446475196
traditional,,2,,,061476001812,051006,La Vista High School,La Vista High School,La Vista High School,"Fullerton, CA",Fullerton,CA,33.877964,-117.889747,9-12,395,23,"Public, Alternative",Public School,,"Fullerton Joint Union High School District, CA",e340b9e3-0252-4ae5-80e4-af62093c0595,la-vista-high-school-fullerton-ca,Fullerton Joint Union High School District,FJUHSD,Fullerton Joint Union High School District,"Fullerton, CA",Fullerton,CA,"Fullerton, CA",fullerton-joint-union-high-school-district-ca,6,4.333333333333333
traditional,,2,,,060004205341,053792,Warner Junior/Senior High School,WHS,Warner Junior/Senior High School,"Warner Springs, CA",Warner Springs,CA,33.255218,-116.668581,7-12,87,12,Public,Public School,,"Warner Unified School District, CA",b47c5983-4a35-478a-9123-4db399d4d457,warner-junior-senior-high-school-warner-springs-ca,Warner Unified School District,WUSD,Warner Unified,"Warner Springs, CA",Warner Springs,CA,"Warner Springs, CA",warner-unified-school-district-ca,18,3.2777777777777777
traditional,,2,,,510324002214,471861,Franklin Military Academy,Franklin Military Academy,Franklin Military Academy,"Richmond, VA",Richmond,VA,37.528494,-77.40462,6-12,379,11,Public,Public School,,"Richmond City Public Schools, VA",c2533b00-5834-4755-bdca-2b2432274a98,franklin-military-academy-richmond-va,Richmond City Public Schools,RPS,Richmond City Public Schools,"Richmond, VA",Richmond,VA,"Richmond, VA",richmond-city-public-schools-va,74,3.5945945945945947
traditional,,2,,,191875001097,162785,Martensdale-St. Marys Junior/Senior High School,Martensdale-St. Marys Junior/Senior High School,Martensdale-St. Marys Junior/Senior High School,"Martensdale, IA",Martensdale,IA,41.374684,-93.738746,7-12,258,13,Public,Public School,,"Martensdale-St. Mary's Community School District, IA",d614214b-2cc5-4938-b169-a28b8155f564,martensdale-st-marys-junior-senior-high-school-martensdale-ia,Martensdale-St. Mary's Community School District,Martensdale-St. Mary's Community School District,Martensdale-St. Mary's Community School District,"Martensdale, IA",Martensdale,IA,"Martensdale, IA",martensdale-st-marys-community-school-district-ia,20,3.55
traditional,,2,,,390449001838,365035,Waite High School,Waite High School,Waite High School,"Toledo, OH",Toledo,OH,41.648383,-83.518832,8-12,1036,15,Public,Public School,,"Toledo City School District, OH",4d8678a0-f577-4402-9a5c-92c63dff2863,waite-high-school-toledo-oh,Toledo City School District,Toledo City School District,Toledo City School District,"Toledo, OH",Toledo,OH,"Toledo, OH",toledo-city-school-district-oh,66,3.5757575757575757
