ncessch,guid
A1392003,47ee73f9-953c-4a6a-8dc0-f9991cee9a9d
00032677,f660e884-b869-4931-bfe2-5d735b923759
00084047,4028f603-db8a-49d9-b1a0-336bcc14e55a
A1500197,da9650be-2ec3-460c-a55a-e799cc2d1cfd
A9100705,1ac98236-d546-406f-b15c-26c09eb82a25
A1500426,a6121d82-e0a8-499c-8606-1a38fd4b2de6
BB160347,1427c799-7f9b-4596-a3b5-39c9cce6d954
BB120057,1dc249e7-5990-4050-987e-ffed42d5857c
A0101312,1ac98236-d546-406f-b15c-26c09eb82a25
00081057,77e35bf7-0fce-4bff-8f9c-6e6e5e1fc466
00209068,4d65f7c5-0df3-4668-891d-1fd699830c96
A1500672,e0c70218-3aab-451e-aa4a-7598772625c2
00233181,17048b0b-25c8-4cbc-8fff-080bede5b2e6
A1592031,49e9ab41-f710-45eb-8a4e-56e29de01b77
A1501043,5fa01c03-bc54-44c8-8a5a-cfe6adcba0b5
A0901096,45b567c6-5519-42d7-9b01-9d6fc1153f2b
BB160592,b40ca8d5-9514-4c57-92d5-1a4b484d2bea
BB160964,70540ce8-7021-43d9-b768-532dceb91ea4
00355009,2a8269e4-b53b-495c-a856-167d8d2335b8
00537907,0f1d1493-2ebf-4b7c-9dbd-552fedad3b0d
00603199,64860c23-306a-4580-a647-6012e8c0aacc
A1502026,feb989bf-2f53-403b-abda-4161b0dd2724
A1502315,c56480fe-8585-46e6-b6ef-4a92a0c0ca53
02044443,de69a34e-6b42-497c-b94e-16a8f2ce0b4b
00869149,27f613de-4d79-48f0-a76c-e6b3cd940ae7
00863533,b26146b9-9fbd-41da-92bd-535087d09351
A1502422,13db86c2-ee12-443f-8613-fbab38e4b242
A0701574,0b6413e5-526f-4e06-a210-730a2c296c4e
A1502611,6cee3a4a-18fc-447c-8a71-a0f1c93e9c05
01056675,141ebbfc-268f-4d7f-90d3-23e4a7497c35
A1503539,12f4be3f-d599-482d-83c2-6f9b9bfa8f92
01932349,e5cb5273-d6a7-4090-80b7-36763dde3150
A9703177,6128dfd4-058e-40bf-9e66-4ffca5b8e19c
A1503654,d3698982-ff7b-45af-918e-649f4443dbf9
A1503700,266b8942-ff73-4c2c-b401-92829de205fd
A1303480,ce322603-a017-4c7f-8f06-ddd8d6def458
A1503901,c0b71242-8299-4f13-9cda-00cb34d73c36
01508817,f11eb3e7-e6e9-42c4-a36e-0840ce540134
A1792017,b986a233-61bb-403e-a10e-040d97ec6d5d
BB180107,6b75b728-56e4-4def-8b1c-fc2fc322c809
BB170011,7e6650a5-4558-4aad-b1e8-152811f8751e
01608968,1ac98236-d546-406f-b15c-26c09eb82a25
A0101087,579e58c8-e8ae-4110-a8d5-bf79439dc5c3
A1790096,e84727a0-7b71-48f2-ba46-f7dec0f97fd3
A1700577,579d1770-dd4e-45d3-8c27-d90ee1b17f80
A1592015,5e9d3626-156f-412a-b524-a1f67219eae6
A1501048,680229c9-7a10-4dfb-bd62-f76e309f967a
A1100756,b9909f26-1919-4773-8fa7-8f8752e219b0
A1501442,d2069c5d-5efa-4809-8719-fa50fc73b2f0
BB160891,329d648c-d4cd-4096-bcad-9e9aa781ceb3
BB180969,143c8702-84d4-45c7-830e-b5b5f4351fd8
A1501543,446afd9b-febb-4fea-bd4c-fc469890cf6b
A1701864,3ca5e2a4-d8fc-4bce-b43e-a2a419c8e94b
A1702132,2093e044-d4f3-4368-97df-7069bbe963b8
00809804,fe49895a-22fe-4de1-9a8a-2c8d8cee7235
A1702419,45b7bc09-30a3-4250-a5ef-567bab19fc96
BB162059,be5af335-574c-4551-8d6c-62122402361f
A1702599,2a870c7c-d575-458f-baac-4ba0efcfa863
A1702694,39ef0445-91bc-42c2-8ee0-c03c3e845852
01056289,236b4ae9-f05f-4cc2-a7e4-aab90f4da0c0
A1702914,d12d9908-005d-4254-8ea1-952b759680a2
A1503074,6d3f07b3-0aef-4d5f-a55f-a1d4e8129c9f
A1592184,02f5d51c-8110-4f90-9e6f-b10ea5611171
01264754,2ca69490-d7a7-4aad-b25c-4ef7e59e1efd
A1703313,0f8470c6-1312-4571-8b8d-426caca59f7a
A1703348,979c0c65-50cf-48c0-9cfc-f993fe5c9c97
BB170357,afe741bb-d9ee-4949-901f-25736be99766
BB162777,63d7b203-083a-4947-9603-75b71500492b
A1790497,ee691359-af23-41e9-8f0b-901ddc9f0e21
BB141099,8a0d7762-86b7-4dea-8fe7-24a740eaae1a
00082968,0fb6ea33-dede-42d7-8a73-bd0b6d302fad
00071672,025b5c62-576a-4ee7-abdf-560f316f9909
00602446,0dbbdb90-3ab5-4946-96ff-49c6418df4d9
02167374,0009fe72-c3e3-4dee-8439-677040ad7156
A1502368,9171f05c-ce93-47ba-95ce-41afbc30b99a
A1503605,6777b8e3-2d4d-47df-ab40-dc3d4d430856
