"univ_abbrev","classification","univ_id","univ_name","state_code","fips_state_code","latitude","longitude","zip_code","fips_county_code","county_name","cbsa_code","locale","sector","control","act_comp_25","act_comp_75","sat_comp_25","sat_comp_75","school_url","tuit_fees_instate","tuit_fees_outstate","ug_fte_ia","fteug","efteug","pct_pell_recipients_freshman","pct_non_res_freshman","pct_freshman_hispanic","pct_freshman_asian","pct_freshman_black","pct_freshman_white","pct_freshman_amerindian","pct_freshman_nativehawaii","pct_freshman_tworaces","pct_freshman_unknownrace","pct_freshman_non_res_alien","search_sector","search_length","pop_freshman_hispanic","pop_freshman_asian","pop_freshman_black","pop_freshman_white","pop_freshman_amerindian","pop_freshman_nativehawaii","pop_freshman_tworaces","pop_freshman_unknownrace","pop_freshman_non_res_alien","pop_freshman"
"SUNY Stony Brook","public_research",196097,"Stony Brook University","NY",36,40.91313800,-73.12359500,11794,36103,"Suffolk County",35620,21,"Public, 4-year or above","Public",26,31,1150,1380,"www.stonybrook.edu",8855.00,23935.00,17101.00,17101.00,17101.00,32.00000000,25.03506279,9.44992924,28.13822365,6.69957685,30.21861839,0.03526093,0.14104372,2.22143865,6.98166418,16.11424637,"PUBLIC",4,268,798,190,857,1,4,63,198,457,2836
"Rutgers","public_research",186380,"Rutgers University-New Brunswick","NJ",34,40.50379600,-74.45051000,"08901",34023,"Middlesex County",35620,13,"Public, 4-year or above","Public",NULL,NULL,1110,1340,"www.rutgers.edu/",14131.00,29521.00,47350.00,36008.00,36008.00,28.00000000,5.41426134,12.73856449,28.83974648,6.86155701,36.59497070,0.03029385,0.19691002,3.71099663,1.31778252,9.70917892,"PUBLIC",4,841,1904,453,2416,2,13,245,87,641,6602
"U of Pitt","public_research",215293,"University of Pittsburgh-Pittsburgh Campus","PA",42,40.44450200,-79.95469200,15260,42003,"Allegheny County",38300,11,"Public, 4-year or above","Public",26,31,1180,1350,"www.pitt.edu",18192.00,28958.00,25882.00,19516.00,19516.00,15.00000000,34.74642563,3.64089775,10.22443867,4.46384048,72.31919861,0.07481297,0.07481297,3.96508718,1.24688280,3.99002504,"PUBLIC",4,146,410,179,2900,3,3,159,50,160,4010
"U of Cincinnati","public_research",201885,"University of Cincinnati-Main Campus","OH",39,39.13115900,-84.51428000,45221,39061,"Hamilton County",17140,11,"Public, 4-year or above","Public",23,28,1040,1290,"www.uc.edu",11000.00,26334.00,28682.00,22391.00,22391.00,21.00000000,13.18440628,3.04961300,3.36822939,6.16750097,75.39826965,0.09103323,0.04551661,2.91306329,5.43923521,3.52753758,"PUBLIC",4,134,148,271,3313,4,2,128,239,155,4394
"UNL","public_research",181464,"University of Nebraska-Lincoln","NE",31,40.82227200,-96.70217700,68588,31109,"Lancaster County",30700,11,"Public, 4-year or above","Public",22,28,1000,1290,"www.unl.edu/",8279.00,22446.00,18415.00,18415.00,18415.00,25.00000000,24.76231575,6.51748848,2.45492077,3.38909411,78.51401520,0.13034977,0.06517489,3.38909411,1.21659791,4.32326746,"PUBLIC",4,300,113,156,3614,6,3,156,56,199,4603
"U of Georgia","public_research",139959,"University of Georgia","GA",13,33.95642800,-83.37404900,30602,13059,"Clarke County",12020,12,"Public, 4-year or above","Public",26,30,1150,1330,"www.uga.edu",11622.00,29832.00,25738.00,25738.00,25738.00,20.00000000,13.03435135,5.65929890,10.86128044,7.52667665,68.95960236,0.11432927,0.11432927,4.07774401,0.99085367,1.69588411,"PUBLIC",4,297,570,395,3619,6,6,214,52,89,5248
"U of S.Carolina","public_research",218663,"University of South Carolina-Columbia","SC",45,33.99897300,-81.02697100,29208,45079,"Richland County",17900,12,"Public, 4-year or above","Public",25,30,1110,1290,"www.sc.edu/",11482.00,30298.00,24744.00,24744.00,24744.00,18.00000000,12.05745506,4.11171436,3.10318065,5.74088430,81.03180695,0.19394881,0.13576417,3.66563225,0.81458497,1.20248258,"PUBLIC",4,212,160,296,4178,10,7,189,42,62,5156
"U of Alabama","public_research",100751,"The University of Alabama","AL","01",33.21440000,-87.54576600,35487,"01125","Tuscaloosa County",46220,13,"Public, 4-year or above","Public",22,31,980,1210,"www.ua.edu/",10170.00,25950.00,29433.00,29433.00,29433.00,19.00000000,62.58463287,4.97491646,1.26811600,9.78260899,79.12486267,0.40412486,0.11148272,2.66164994,0.37625417,1.29598665,"PUBLIC",4,357,91,702,5678,29,8,191,27,93,7176
"UC Berkeley","public_research",110635,"University of California-Berkeley","CA","06",37.87196900,-122.26042300,94720,"06001","Alameda County",41860,12,"Public, 4-year or above","Public",30,34,1250,1510,"www.berkeley.edu",13431.00,38139.00,28488.00,28488.00,28488.00,26.00000000,31.30178642,12.57713223,38.85662460,1.74228680,25.06352043,0.23593466,0.21778584,5.13611603,3.70235944,12.46823978,"PUBLIC",4,693,2141,96,1381,13,12,283,204,687,5510
"UC Irvine","public_research",110653,"University of California-Irvine","CA","06",33.64843400,-117.84124800,92697,"06059","Orange County",31080,12,"Public, 4-year or above","Public",24,29,1030,1290,"www.uci.edu/",13252.00,37960.00,26119.00,26119.00,26119.00,43.00000000,20.93623352,27.20153236,31.50017357,1.91437519,11.74730206,0.06961364,0.41768187,3.23703456,0.90497738,23.00730896,"PUBLIC",4,1563,1810,110,675,4,24,186,52,1322,5746
"CU Boulder","public_research",126614,"University of Colorado Boulder","CO","08",40.00441500,-105.26706100,80309,"08013","Boulder County",14500,13,"Public, 4-year or above","Public",24,30,1070,1300,"www.colorado.edu",11091.00,34125.00,NULL,25762.00,25762.00,16.00000000,47.36841965,11.72380352,5.38486433,1.64941788,68.43466949,0.25873220,0.08085382,5.27166891,0.29107374,6.90491581,"PUBLIC",4,725,333,102,4232,16,5,326,18,427,6184
"UC Riverside","public_research",110671,"University of California-Riverside","CA","06",33.97588000,-117.33109800,92521,"06065","Riverside County",40140,11,"Public, 4-year or above","Public",23,28,980,1210,"WWW.UCR.EDU",13527.00,38235.00,18434.00,18434.00,18434.00,52.00000000,7.20805073,37.09397507,39.42474747,3.54574752,11.25712872,0.17356806,0.52070421,4.53756523,1.14059007,2.30597568,"PUBLIC",4,1496,1590,143,454,7,21,183,46,93,4033
